Date,Stars,Sentiment_rating,Details,Text,Remark
2-14W,4-stars or above,Advertising,廣告太多,"If you still give us a lot of ads, let them be extended, that is, let's look at the Green Horses on the walls",
2-14W,4-stars or above,Positive,Positive,"Great casino so far, nice machines",
2-14W,4-stars or above,Positive,個人意見,you are ksk,
2-14W,4-stars or above,Positive,Positive,Fun games,
2-14W,4-stars or above,Positive,Positive,Very good,
2-14W,4-stars or above,Positive,Positive,Fun,
2-14W,4-stars or above,Positive,Positive,A lot of Fun!,
2-14W,4-stars or above,Positive,Positive,Enjoy this game,
2-14W,4-stars or above,Positive,Positive,"The same is true, not only is it good
",
2-14W,4-stars or above,Positive,Positive,Great game,
2-14W,4-stars or above,Positive,Positive,"Good
",
2-14W,3-stars or below,Positive,需問詳情,"Why send feedback??? if you don't do anything about it??? Enough of this game, tired",2-14-2022
2-14W,3-stars or below,Positive,需問詳情,"Jackpot fell for 7 billion, as a result, it was not accrued, so such an assessment",
2-07W,3-stars or below,Advertising,廣告太多,"Don't install it, there's a lot of advertising",
2-07W,3-stars or below,Positive,個人意見,"Disaster, just fooling around, game absolutely useless.",
2-07W,3-stars or below,Positive,個人意見,Not very good,
2-07W,3-stars or below,Numerical,賠率差,"If you want money to throw away, then this is for you!!!",
2-07W,3-stars or below,Technician Issues,閃退或卡死,Bad bad bad Freezes up my phone everytime uninstalled..,
2-07W,3-stars or below,Positive,個人意見,"this app does not work on my laptop, it is uselss. I don't need it on my phone",
2-07W,3-stars or below,Positive,個人意見,It's not worth that much,
2-07W,3-stars or below,Numerical,賠率差,"Why bother putting this game on Google play , It stop's on wins and is slower than a turtle, It kick's you completely out of the game.",
2-07W,3-stars or below,Numerical,賠率差,Just like all the rest. Good for the 1st day. Then its a steady drain to ZERO. Uninstalled.,
2-07W,3-stars or below,Numerical,賠率差,"Are you a damn person, you didn't give a hand until you gave 4 billion VIRTUAL points, how can we load it, if the world's treasure is not enough for you",
2-07W,3-stars or below,Numerical,賠率差,Like with so many other slots apps ran out of coins very quickly...,
2-07W,3-stars or below,Positive,個人意見,Sucks,
2-07W,3-stars or below,Numerical,賠率差,Cheats you out of coins . It will give you coins but not all of the large amounts are given . Watch your coin amount at the top.,
2-07W,3-stars or below,Numerical,賠率差,"If you have money to throw away, then this game is for you!!! Expensive with little payouts",
2-07W,3-stars or below,Numerical,賠率差,"Love the games on this one, but it's not uncommon to spin 40+ times and not win anything. That seems excessive to me. Going from $900M to $200 in an hour, using $2000 spins....insane.

",
2-07W,3-stars or below,Positive,需問詳情,Scrambled screen,
2-07W,4-stars or above,Positive,Positive,good,
2-07W,4-stars or above,Positive,Positive,Great,
2-07W,4-stars or above,Positive,Positive,"Fun. Engaging missions. Just a fun game
",
2-07W,4-stars or above,Positive,Positive,"Winning!
",
2-07W,4-stars or above,Positive,Positive,Slot of fun,
2-07W,4-stars or above,Numerical,賠率好,"Even if you have a bad streak, there are always enough extra features for a comeback. Very good balance.",
2-07W,4-stars or above,Positive,賠率好,Great to play and takes up ur time when u want something like a game to do..,
2-07W,4-stars or above,Numerical,賠率好,"I just started playing, but I've won soooo much!",
2-07W,4-stars or above,Positive,Positive,Great games So Addicting,
2-07W,4-stars or above,Positive,Positive,Very fun.... Loose slots,
2-07W,4-stars or above,Positive,Positive,So much fun!!,
2-07W,4-stars or above,Positive,Positive,Variety of games good bonuses,
2-07W,4-stars or above,Positive,Positive,good fun,
2-07W,4-stars or above,Positive,Positive,I will say to everyone i meet this is a fun casino,
2-07W,4-stars or above,Positive,Positive,It was ok,
2-07W,4-stars or above,Positive,Positive,Great!8[iip9,
2-07W,4-stars or above,Positive,Positive,Exhilarating,
2-07W,4-stars or above,Positive,Positive,Fun,
2-07W,4-stars or above,Positive,Positive,good game having fun 02/09/22,
2-07W,4-stars or above,Positive,Positive,"Best game of its genre so far, a nd I have played several.",
2-07W,4-stars or above,Positive,Positive,Great,
2-07W,4-stars or above,Positive,個人意見,Beginner,
2-07W,4-stars or above,Positive,Positive,I love this game,
2-07W,4-stars or above,Graphic,美術好評,Solid game love the graphics good payouts,
2-07W,4-stars or above,Positive,Positive,Fun,
2-07W,4-stars or above,,免费金币少,Good need more coins or bonuses,
2-07W,4-stars or above,Positive,Positive,Top,
2-07W,4-stars or above,Positive,Positive,Great fun always,
2-07W,4-stars or above,Positive,Positive,I love this game,
2-07W,4-stars or above,Positive,Positive,Fantastic,
2-07W,4-stars or above,Positive,Positive,Fun games,
2-07W,4-stars or above,Positive,Positive,Okay,
2-07W,4-stars or above,Numerical,賠率好,easy to win bonus. Dont focus on one gmae. Great time killer,
2-07W,4-stars or above,Positive,Positive,One of the best A big selection and you actually win. You can do quests or not. Most important not a ton of ads!,
2-07W,4-stars or above,Positive,Positive,Could be better with graphics but Im satisfied,
2-07W,4-stars or above,Positive,Positive,Good game slots same to be very lose lots of wins.,
2-07W,4-stars or above,Positive,Positive,Lots of fun,
2-07W,4-stars or above,Positive,Positive,Getting going will let you know more later.,
2-07W,4-stars or above,Positive,Positive,I love playing this game,
2-07W,4-stars or above,Positive,Positive,Carroll kanston AWESOME,
2-07W,4-stars or above,Positive,Positive,Really fun to play,
2-07W,4-stars or above,Positive,Positive,A lot of different games to play,
